	CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1	CC003P3_2
CC003N1_1	0	0.0269411766252108	0.0366454602432069	0.0221317476072485	0.0373142926626892	0.0628577860435788	0.0120587176944984	0.0273912453552013
CC003N1_2	0.0269411766252108	0	0.0572402106997553	0.0301788131142522	0.0385727536040825	0.0381033277653561	0.0298534550500272	0.0149786560266574
CC003P1_1	0.0366454602432069	0.0572402106997553	0	0.0361992653483551	0.0681157619054941	0.0899380845098684	0.0386539893004895	0.058588862082669
CC003P1_2	0.0221317476072485	0.0301788131142522	0.0361992653483551	0	0.054916306842737	0.064464952874098	0.0286263052780783	0.0312371701535299
CC003P2_1	0.0373142926626892	0.0385727536040825	0.0681157619054941	0.054916306842737	0	0.057250247360365	0.0323588778342852	0.0398056247348978
CC003P2_2	0.0628577860435788	0.0381033277653561	0.0899380845098684	0.064464952874098	0.057250247360365	0	0.0646286979261807	0.0448560203644054
CC003P3_1	0.0120587176944984	0.0298534550500272	0.0386539893004895	0.0286263052780783	0.0323588778342852	0.0646286979261807	0	0.0313365994406611
CC003P3_2	0.0273912453552013	0.0149786560266574	0.058588862082669	0.0312371701535299	0.0398056247348978	0.0448560203644054	0.0313365994406611	0
