	CC003N1	CC003P1	CC003P2	CC003P3
CC003N1	0	0.0366006983157293	0.0414421049942708	0.0370320286891999
CC003P1	0.0366006983157293	0	0.030851499892138	0.00266917305501906
CC003P2	0.0414421049942708	0.030851499892138	0	0.0330931451084719
CC003P3	0.0370320286891999	0.00266917305501906	0.0330931451084719	0
