	CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1	CC003P3_2
CC003N1_1	0	0.0616147703959097	0.0314597039483756	0.055955124730948	0.225684218572241	0.23795991672452	0.112053635744406	0.182123690283171
CC003N1_2	0.0616147703959097	0	0.0770411044555082	0.0699822995599914	0.168484985186745	0.184174208364126	0.0581378060107363	0.132283557717607
CC003P1_1	0.0314597039483756	0.0770411044555082	0	0.0415896196291638	0.234619865460077	0.242569920367933	0.122848798077652	0.182514487117612
CC003P1_2	0.055955124730948	0.0699822995599914	0.0415896196291638	0	0.210567867662138	0.214169642803579	0.104228577387615	0.149891053862813
CC003P2_1	0.225684218572241	0.168484985186745	0.234619865460077	0.210567867662138	0	0.0433964304431109	0.120679946737447	0.0890241760824724
CC003P2_2	0.23795991672452	0.184174208364126	0.242569920367933	0.214169642803579	0.0433964304431109	0	0.136121765247615	0.0802301742723951
CC003P3_1	0.112053635744406	0.0581378060107363	0.122848798077652	0.104228577387615	0.120679946737447	0.136121765247615	0	0.0957696146186846
CC003P3_2	0.182123690283171	0.132283557717607	0.182514487117612	0.149891053862813	0.0890241760824724	0.0802301742723951	0.0957696146186846	0
