	CC003N1	CC003P1	CC003P2	CC003P3
CC003N1	0	0.0290616298936613	0.086535884430551	0.116365980836457
CC003P1	0.0290616298936613	0	0.0933369353152168	0.102731502791293
CC003P2	0.086535884430551	0.0933369353152168	0	0.189609087465245
CC003P3	0.116365980836457	0.102731502791293	0.189609087465245	0
