	CC003N1	CC003P1	CC003P2	CC003P3
CC003N1	0	0.0216425972830911	0.0986699650788535	0.0391746359050169
CC003P1	0.0216425972830911	0	0.0813777517034085	0.0447939627284013
CC003P2	0.0986699650788535	0.0813777517034085	0	0.0988019564031908
CC003P3	0.0391746359050169	0.0447939627284013	0.0988019564031908	0
