	CC003N1	CC003P1	CC003P2	CC003P3
CC003N1	0	0.00662435186732592	0.0114387030103859	0.0109543576348598
CC003P1	0.00662435186732592	0	0.016524668349361	0.0142921710144148
CC003P2	0.0114387030103859	0.016524668349361	0	0.00493672643906745
CC003P3	0.0109543576348598	0.0142921710144148	0.00493672643906745	0
