	CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1
CC003N1_1	0	0.0285323170085387	0.0154396342882262	0.0262663920853949	0.120527271393995	0.135779780681269	0.0223670930773663
CC003N1_2	0.0285323170085387	0	0.0232098043653817	0.0212935753433006	0.104880801873412	0.117946982975203	0.0292705272752414
CC003P1_1	0.0154396342882262	0.0232098043653817	0	0.0255399854774739	0.109194343917621	0.123430371293591	0.0155181008382326
CC003P1_2	0.0262663920853949	0.0212935753433006	0.0255399854774739	0	0.119178550082709	0.132097258864176	0.0381680011298863
CC003P2_1	0.120527271393995	0.104880801873412	0.109194343917621	0.119178550082709	0	0.0226993453673733	0.101325447345783
CC003P2_2	0.135779780681269	0.117946982975203	0.123430371293591	0.132097258864176	0.0226993453673733	0	0.116956806561052
CC003P3_1	0.0223670930773663	0.0292705272752414	0.0155181008382326	0.0381680011298863	0.101325447345783	0.116956806561052	0
