Sample	JSDistance_CC003N1	Nax10_CC003_0.1_selected	Nax10_CC003_0.1_JSD	Nax11_CC003_0.1_selected	Nax11_CC003_0.1_JSD	Nax15_CC003_0.1_selected	Nax15_CC003_0.1_JSD	Nax30_CC003_0.1_selected	Nax30_CC003_0.1_JSD	Nax38_CC003_0.1_selected	Nax38_CC003_0.1_JSD	Nax40LA_CC003_0.1_selected	Nax40LA_CC003_0.1_JSD	Nax40UA_CC003_0.1_selected	Nax40UA_CC003_0.1_JSD	Nax43_CC003_0.1_selected	Nax43_CC003_0.1_JSD	Nax47_CC003_0.1_selected	Nax47_CC003_0.1_JSD	Nax49_CC003_0.1_selected	Nax49_CC003_0.1_JSD	Nax50_CC003_0.1_selected	Nax50_CC003_0.1_JSD	Nax51_CC003_0.1_selected	Nax51_CC003_0.1_JSD	Nax55_CC003_0.1_selected	Nax55_CC003_0.1_JSD	S1124_CC003_0.1_selected	S1124_CC003_0.1_JSD	Sal2_CC003_0.1_selected	Sal2_CC003_0.1_JSD	Sal21_CC003_0.1_selected	Sal21_CC003_0.1_JSD	Sal22_CC003_0.1_selected	Sal22_CC003_0.1_JSD	Sal26_CC003_0.1_selected	Sal26_CC003_0.1_JSD	Sal27_CC003_0.1_selected	Sal27_CC003_0.1_JSD	Sal45_CC003_0.1_selected	Sal45_CC003_0.1_JSD	Sal46_CC003_0.1_selected	Sal46_CC003_0.1_JSD	Sal52_CC003_0.1_selected	Sal52_CC003_0.1_JSD	Sal57_CC003_0.1_selected	Sal57_CC003_0.1_JSD	Sal58_CC003_0.1_selected	Sal58_CC003_0.1_JSD	Sal66_CC003_0.1_selected	Sal66_CC003_0.1_JSD	Sal74_CC003_0.1_selected	Sal74_CC003_0.1_JSD	Sal78_CC003_0.1_selected	Sal78_CC003_0.1_JSD	Sal87_CC003_0.1_selected	Sal87_CC003_0.1_JSD
CC003N1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_2	0	CC003N1_2	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_2	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0	CC003N1_2	0	CC003N1_1	0	CC003N1_1	0	CC003N1_1	0
CC003P1	0.807919524452057	CC003P1_1	0.00520840565439479	CC003P1_1	0.0180982848652115	CC003P1_1	0.0238533941467574	CC003P1_1	0.0182756446649545	CC003P1_1	0.0424882597149656	CC003P1_1	0.00427017134100317	CC003P1_1	0.00662435186732592	CC003P1_1	0.0232098043653817	CC003P1_1	0.0418462833706417	CC003P1_1	0.00545438942032525	CC003P1_1	0.0202527527742342	CC003P1_1	0.0314597039483756	CC003P1_1	0.0366006983157293	CC003P1_1	0.0216425972830911	CC003P1_1	0.0144838408626669	CC003P1_1	0.0128775480749844	CC003P1_1	0.00803172162741319	CC003P1_1	0.0192507084157149	CC003P1_1	0.00730634310431871	CC003P1_1	0.0366454602432069	CC003P1_2	0.0111462658909835	CC003P1_1	0.0656086945380656	CC003P1_1	0.110481404722408	CC003P1_1	0.0636478768289257	CC003P1_1	0.0569878400807244	CC003P1_1	0.0649504779644913	CC003P1_1	0.00815497047210033	CC003P1_1	0.0290616298936613
CC003P2	1.43392645992506	CC003P2_1	0.00867807462962492	CC003P2_1	0.0651930032048076	CC003P2_1	0.120205799669396	CC003P2_1	0.0182831063862093	CC003P2_1	0.0588391724040351	CC003P2_1	0.0458145934810725	CC003P2_1	0.0114387030103859	CC003P2_1	0.104880801873412	CC003P2_2	0.029588780139436	CC003P2_1	0.031069916119744	CC003P2_1	0.0394443764316737	CC003P2_1	0.225684218572241	CC003P2_1	0.0414421049942708	CC003P2_1	0.0986699650788535	CC003P2_1	0.0155802826110085	CC003P2_1	0.0232330104492967	CC003P2_1	0.065742556335223	CC003P2_1	0.0293444762967018	CC003P2_1	0.0118867061497153	CC003P2_1	0.0373142926626892	CC003P2_2	0.0113223940446203	CC003P2_1	0.0760790570904586	CC003P2_1	0.0442911355570649	CC003P2_1	0.0487440264559872	CC003P2_2	0.026312354857681	CC003P2_2	0.0503163017555571	CC003P2_2	0.00799136523334441	CC003P2_1	0.086535884430551
CC003P3	0.994311293433384	CC003P3_2	0.00991334585200292	CC003P3_1	0.0250851680423872	CC003P3_1	0.0145950746430347	CC003P3_1	0.0132806241059364	CC003P3_1	0.0294823386247598	CC003P3_1	0.0108638890197539	CC003P3_1	0.0109543576348598	CC003P3_1	0.0292705272752414	CC003P3_1	0.0867241063214971	CC003P3_1	0.0149446345414951	CC003P3_1	0.052052984844704	CC003P3_1	0.112053635744406	CC003P3_1	0.0370320286891999	CC003P3_1	0.0391746359050169	CC003P3_1	0.0175710096776081	CC003P3_2	0.0501919445332843	CC003P3_2	0.080914817977062	CC003P3_1	0.0226869555918803	CC003P3_2	0.00457653463201449	CC003P3_1	0.0120587176944984	CC003P3_2	0.00462477629406885	CC003P3_1	0.0258996877549862	CC003P3_1	0.0641607630801527	CC003P3_1	0.00540342798773418	CC003P3_2	0.0726874444576862	CC003P3_2	0.0262448586629338	CC003P3_1	0.00549702300872141	CC003P3_2	0.116365980836457
