	CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1	CC003P3_2
CC003N1_1	0	0.0309596673879667	0.0202527527742342	0.0552311526631456	0.0394443764316737	0.0463734846555404	0.052052984844704	0.0836436736873215
CC003N1_2	0.0309596673879667	0	0.0231311162818922	0.0771536788769414	0.0214314982816499	0.0238070621167017	0.0240531053772997	0.0547647315788331
CC003P1_1	0.0202527527742342	0.0231311162818922	0	0.0584840486255515	0.029270500233231	0.0401467434889645	0.0397617432615175	0.0714203570702898
CC003P1_2	0.0552311526631456	0.0771536788769414	0.0584840486255515	0	0.0749456401856897	0.0945867026576383	0.094632507560841	0.123155113870218
CC003P2_1	0.0394443764316737	0.0214314982816499	0.029270500233231	0.0749456401856897	0	0.0400957914407866	0.0287492834894029	0.0512566325778966
CC003P2_2	0.0463734846555404	0.0238070621167017	0.0401467434889645	0.0945867026576383	0.0400957914407866	0	0.0305317699295854	0.0515886983750735
CC003P3_1	0.052052984844704	0.0240531053772997	0.0397617432615175	0.094632507560841	0.0287492834894029	0.0305317699295854	0	0.0371214896259378
CC003P3_2	0.0836436736873215	0.0547647315788331	0.0714203570702898	0.123155113870218	0.0512566325778966	0.0515886983750735	0.0371214896259378	0
